URL,Traffic,Number of Keywords,Traffic (%),Primary Intent,Top Keyword
https://acacia-medical.com/,2850.14,123,97.63,—,—
https://acacia-medical.com/pharmacies/,45.72,12,1.57,—,—
https://acacia-medical.com/compassionate-access-amcal-smith-collective/,18.47,5,0.63,—,—
https://acacia-medical.com/compassionate-access-pine/,5.1,1,0.17,—,—
