URL,Traffic,Number of Keywords,Traffic (%),Primary Intent,Top Keyword
https://nuleafclinics.com.au/,193.31,14,93.66,—,—
https://nuleafclinics.com.au/whats-a-health-summary-and-why-do-we-ask-for-it/,13.09,6,6.34,—,—
