Postcode,Total,Not Approved,Booked,Approved,Active,Discharged,Discharged Patient,HOLD,Inactive - Active,Inactive - Approved,Inactive - Booked,Inactive - NA
Thorneside,7,0,0,1,0,1,0,0,2,1,0,2
Tinana,7,1,0,0,0,0,0,0,1,0,3,2
Toogoom,7,0,0,0,1,1,0,0,1,0,4,0
Trevallyn,7,0,0,0,2,0,0,0,0,1,2,2
Tully,7,1,0,0,0,1,0,0,0,0,3,2
Tyabb,7,0,0,0,2,0,0,0,4,1,0,0
Ulverstone,7,0,0,0,1,3,0,0,0,0,0,3
Upper Kedron,7,0,0,0,1,0,0,0,2,0,1,3
Vaucluse,7,0,0,0,0,0,0,0,4,0,0,3
Villawood,7,0,0,0,0,1,0,0,1,0,0,5
Vincent,7,0,1,1,0,1,0,0,0,1,2,1
Wamberal,7,0,0,0,0,1,0,0,2,0,1,3
Waratah West,7,0,0,0,0,3,0,0,1,1,1,1
Warners Bay,7,0,1,0,1,1,0,0,2,0,0,2
Waroona,7,1,0,0,2,1,0,0,3,0,0,0
Watson,7,0,0,0,0,2,0,0,2,0,1,2
West Croydon,7,0,0,0,1,1,0,0,2,0,1,2
West Leederville,7,0,1,0,2,1,0,0,1,0,2,0
West Melbourne,7,0,0,0,1,0,0,0,3,0,2,1
Westmead,7,0,1,0,1,0,0,0,1,0,0,4
Wheeler Heights,7,0,0,0,0,1,0,0,2,0,2,2
Willoughby,7,0,0,0,0,0,0,0,1,0,2,4
Wilsonton Heights,7,0,0,0,1,3,0,0,1,0,0,2
Winston Hills,7,0,0,0,3,0,0,0,1,0,0,3
Wonthaggi,7,0,0,0,0,2,0,0,3,1,1,0
Woodford,7,0,0,0,1,1,1,0,1,1,1,1
Worongary,7,0,0,1,1,0,0,0,2,0,1,2
Wyongah,7,0,0,0,0,1,0,0,0,2,2,2
Yulara,7,0,0,0,1,1,0,0,2,0,1,2
Airport West,6,1,0,0,1,1,0,0,0,0,1,2
Alligator Creek,6,0,0,0,0,1,0,0,0,1,1,3
Applecross,6,0,1,0,2,0,0,0,1,0,1,1
Artarmon,6,0,1,0,2,1,0,0,0,0,1,1
Ashburton,6,0,1,0,1,2,0,0,1,0,1,0
Ballan,6,0,0,0,1,2,0,0,2,0,1,0
Bangor,6,2,0,0,0,0,0,0,0,0,1,3
Banksia Park,6,0,0,0,0,1,0,0,0,1,3,1
Beaumaris,6,0,0,0,1,1,0,0,0,0,2,2
Bedford,6,0,0,0,1,3,0,0,0,0,0,2
Belgrave,6,1,0,0,1,0,0,0,1,0,2,1
Bella Vista,6,0,0,0,1,0,0,0,5,0,0,0
Blackalls Park,6,0,0,0,3,0,0,0,0,0,0,3
Blair Athol,6,0,0,0,0,0,0,0,4,0,1,1
Bluewater,6,0,0,0,1,1,0,0,2,2,0,0
Brabham,6,0,1,0,1,0,0,0,1,0,2,1
Brinsmead,6,0,0,0,1,0,0,0,1,0,1,3
Brookdale,6,0,0,0,2,0,0,0,0,1,1,2
Bucca,6,0,0,0,1,0,0,0,3,0,1,1
Busby,6,0,0,0,0,2,0,0,0,1,0,3
Cabramatta,6,1,0,0,0,1,0,0,2,1,0,1
Camillo,6,0,0,0,0,1,1,0,1,0,3,0
Canley Heights,6,0,0,0,0,0,0,0,1,0,0,5
Canton Beach,6,2,0,0,1,0,0,0,2,1,0,0
Capel Sound,6,0,0,0,0,3,0,0,0,0,2,1
Caringbah South,6,1,0,0,2,0,0,0,2,0,0,1
Caroline Springs,6,0,0,0,2,0,0,0,0,1,1,2
Cartwright,6,0,0,0,0,1,0,0,0,0,1,4
Castlemaine,6,0,0,0,2,1,0,0,0,0,3,0
Catalina,6,0,1,0,1,1,1,0,1,0,0,1
Charters Towers City,6,0,0,0,1,2,0,0,0,0,1,2
Chirnside Park,6,0,1,0,2,0,0,0,0,0,1,2
Christies Beach,6,0,0,0,0,2,0,0,1,0,2,1
Claymore,6,0,1,0,0,2,0,0,0,1,1,1
Colyton,6,0,1,0,1,2,0,0,0,0,1,1
Condamine,6,1,0,0,2,0,0,0,1,0,1,1
Condobolin,6,0,0,0,0,0,1,0,2,1,1,1
Cooks Hill,6,0,0,0,0,0,0,0,2,0,2,2
Cooranbong,6,0,0,0,1,1,0,0,1,0,2,1
Cordalba,6,0,0,0,0,1,1,0,0,0,2,2
Corlette,6,0,0,0,0,1,0,0,3,0,1,1
Cornubia,6,0,0,0,0,0,1,0,3,0,1,1
Cotswold Hills,6,0,0,0,0,1,0,0,4,0,1,0
Cottesloe,6,0,0,0,2,1,0,0,1,0,0,2
Coutts Crossing,6,0,0,0,1,1,0,0,2,0,1,1
Croydon North,6,0,0,0,2,0,0,0,0,0,0,4
Dayton,6,0,0,0,0,1,1,0,0,0,3,1
Deloraine,6,0,0,0,0,0,0,0,1,1,2,2
Dunlop,6,0,1,0,0,1,0,0,3,0,0,1
Dunsborough,6,0,0,0,1,1,0,0,0,0,4,0
Dutton Park,6,0,0,0,0,1,1,0,1,0,0,3
East Innisfail,6,0,0,0,1,1,0,0,1,0,3,0
Ebenezer,6,1,0,0,2,0,0,0,1,0,0,2
Eglinton,6,0,0,0,1,0,1,0,1,0,2,1
Elizabeth Bay,6,0,0,0,2,0,1,0,0,0,1,2
Enmore,6,0,0,0,0,0,0,0,3,0,2,1
Erskine,6,0,0,0,2,1,0,0,2,0,1,0
Eschol Park,6,0,0,0,1,0,0,0,1,0,1,3
Esk,6,0,0,0,0,0,0,0,2,0,3,1
Fern Bay,6,1,0,0,1,0,1,0,2,0,0,1
Ferndale,6,0,0,0,1,0,0,0,2,0,1,2
Fletcher,6,0,0,0,0,2,0,0,1,0,2,1
Flinders View,6,0,0,0,0,1,0,0,3,0,2,0
Gawler South,6,0,1,0,0,0,0,0,0,1,0,4
Georgetown,6,0,0,0,2,0,0,0,2,0,0,2
Gillen,6,0,0,0,0,2,0,0,1,0,0,3
Gladesville,6,1,0,0,0,1,0,0,0,2,0,2
Glenella,6,0,0,0,0,2,0,0,1,1,2,0
Golden Beach,6,0,0,0,1,1,0,0,1,0,1,2
Green Point,6,0,1,0,1,1,0,0,0,1,0,2
Greenvale,6,1,0,0,0,1,0,0,2,0,1,1
Gregory Hills,6,0,0,0,0,1,0,0,1,0,0,4
Hackett,6,0,0,0,2,2,0,0,2,0,0,0
Hallam,6,1,0,0,0,1,0,0,1,0,2,1
Hamilton Island,6,0,0,0,3,0,0,0,0,0,0,3
Harrisdale,6,1,0,0,1,2,0,0,0,0,0,2
Heathcote,6,0,0,1,2,1,0,0,2,0,0,0
Heathridge,6,0,0,0,2,1,1,0,0,0,0,2
Henley Beach,6,0,0,0,0,0,0,0,2,1,1,2
Holt,6,0,1,0,2,1,1,0,0,0,0,1
Horse Camp,6,0,0,0,0,1,0,0,2,0,0,3
Huntfield Heights,6,0,0,0,1,0,0,0,1,1,0,3
Hurlstone Park,6,0,0,0,2,1,0,0,0,1,1,1
Imbil,6,0,0,0,0,1,0,0,1,1,1,2
Innaloo,6,0,0,0,0,2,0,0,1,0,2,1
Invermay,6,1,0,0,1,2,0,0,0,0,0,2
Irymple,6,0,0,0,1,0,0,0,4,0,1,0
Jacobs Well,6,0,0,0,1,1,0,0,1,0,2,1
Joondanna,6,1,0,0,2,1,0,0,1,1,0,0
Joyner,6,0,0,0,2,0,0,0,1,0,1,2
Kahibah,6,0,0,0,0,2,0,0,1,0,3,0
Kalkallo,6,0,0,0,0,3,0,0,1,0,0,2
Kanwal,6,0,0,0,0,1,1,0,1,0,1,2
Katherine East,6,0,0,0,0,2,0,0,3,0,1,0
Kempsey,6,0,0,0,0,1,0,0,0,0,1,4
Kiama,6,0,0,0,0,2,0,0,1,0,2,1
Kidman Park,6,0,0,0,1,0,0,0,2,0,3,0
Kin Kora,6,0,0,0,0,1,0,0,2,0,2,1
Kingsthorpe,6,1,0,0,0,1,0,0,2,0,1,1
Kirkwood,6,0,1,0,1,0,0,0,1,0,1,2
Korora,6,0,0,0,0,1,1,0,1,0,0,3
Kuraby,6,0,0,0,0,0,0,0,2,0,1,3
Laidley,6,0,0,0,0,2,0,0,1,0,2,1
Lake Munmorah,6,0,0,0,0,0,1,0,1,0,2,2
Lansdowne,6,0,0,0,2,1,0,0,1,0,1,1
Latrobe,6,0,0,0,0,0,0,0,2,0,1,3
Leda,6,0,0,0,0,0,2,0,0,1,1,2
Lemon Tree Passage,6,0,0,0,0,1,0,0,0,0,0,5
Leopold,6,0,0,0,1,0,0,0,1,0,0,4
Lockleys,6,0,1,0,0,1,0,0,0,0,3,1
Lutana,6,0,0,0,1,1,1,0,0,0,1,2
Macgregor,6,0,0,0,0,1,0,0,2,0,1,2
Maffra,6,1,0,0,0,2,0,0,0,0,0,3
Marsfield,6,1,0,0,2,0,1,0,0,0,0,2
Medina,6,0,1,0,0,1,0,0,1,1,2,0
Meekatharra,6,0,0,0,1,1,0,0,0,0,3,1
Metford,6,0,0,0,1,2,0,0,1,0,0,2
Middle Swan,6,0,0,0,0,4,0,0,0,0,0,2
Modbury,6,0,0,0,0,1,0,0,1,0,1,3
Moffat Beach,6,0,2,0,0,0,0,0,0,0,1,3
Moil,6,1,0,0,2,1,0,0,0,0,0,2
Moonah,6,1,0,0,2,1,0,0,1,0,1,0
Moora,6,0,0,1,0,2,0,0,0,0,1,2
Morven,6,0,0,0,2,0,0,0,1,1,0,2
Mosman,6,0,1,0,0,0,0,0,1,2,1,1
Mount Hutton,6,0,1,0,0,1,1,0,1,0,0,2
Mundingburra,6,0,0,0,1,0,0,0,2,1,2,0
Murgon,6,0,0,0,2,0,0,0,2,0,2,0
Narrandera,6,0,0,0,0,0,0,0,1,0,2,3
Natimuk,6,0,2,0,3,0,0,0,1,0,0,0
Nebo,6,0,0,0,1,2,0,0,0,0,1,2
Nedlands,6,0,0,0,1,1,0,0,2,0,1,1
New Town,6,0,1,0,0,0,0,0,1,0,1,3
Newcomb,6,0,0,0,2,0,0,0,2,0,2,0
Newington,6,0,0,0,0,0,0,0,4,0,1,1
Newnham,6,0,0,0,0,0,2,0,1,1,2,0
North Narrabeen,6,0,0,0,1,0,0,0,2,0,1,2
Northmead,6,0,0,0,3,0,0,0,0,0,3,0
Ormond,6,1,0,0,2,1,0,0,1,0,0,1
Ourimbah,6,0,0,0,0,1,0,0,0,0,2,3
Padbury,6,0,0,0,0,0,0,0,0,0,4,2
Parramatta Park,6,0,1,0,0,1,0,0,2,0,1,1
Pascoe Vale South,6,1,0,0,1,0,0,0,3,0,1,0
Peak Hill,6,0,0,1,1,2,1,0,0,0,1,0
Pearce,6,0,1,0,0,0,0,0,2,0,2,1
Pearsall,6,0,0,0,2,3,0,0,0,0,1,0
Point Clare,6,0,0,0,1,2,0,0,1,0,1,1
Quirindi,6,0,1,0,0,1,0,0,1,0,1,2
Railway Estate,6,0,0,1,0,1,0,0,3,0,1,0
Rasmussen,6,0,0,0,0,2,0,0,0,0,3,1
River Heads,6,0,0,0,1,0,0,0,2,0,1,2
Rockdale,6,0,0,0,0,2,0,0,0,1,1,2
Ropes Crossing,6,0,0,0,0,1,1,0,0,0,1,3
Rostrevor,6,0,0,0,0,0,0,0,1,0,3,2
Sadleir,6,0,0,0,0,0,0,0,1,0,1,4
Saint Kilda East,6,0,0,0,0,1,0,0,0,1,2,2
Saint Lucia,6,2,1,0,0,0,0,0,0,1,0,2
Salisbury East,6,0,1,0,0,1,0,0,1,0,1,2
Sapphire Central,6,0,0,0,0,2,0,0,0,1,2,1
Scoresby,6,0,0,0,0,1,0,0,0,1,2,2
Sherwood,6,1,0,0,0,0,0,0,2,0,1,2
Silverwater,6,0,0,0,0,1,1,0,1,0,0,3
Singleton Heights,6,0,0,0,0,1,0,0,1,0,1,3
Soldiers Hill,6,0,0,0,0,1,0,0,3,0,1,1
Somerset,6,1,0,0,1,1,0,0,1,0,1,1
Sorell,6,0,0,0,1,0,1,0,2,0,2,0
South Brighton,6,0,0,0,0,0,0,0,1,0,1,4
South Wentworthville,6,2,1,0,0,1,0,0,0,0,1,1
Springdale Heights,6,0,0,0,0,2,0,0,2,0,1,1
Springvale,6,0,0,0,0,1,0,0,1,0,1,3
St Lucia,6,0,0,0,1,0,0,0,2,0,1,2
Strathmore,6,0,1,0,2,0,0,0,1,1,1,0
Sunrise Beach,6,0,0,0,1,1,0,0,0,0,2,2
Sunshine North,6,0,0,0,1,0,1,0,2,0,1,1
Surrey Hills,6,1,0,0,0,2,0,0,1,0,1,1
Tatura,6,0,0,0,0,2,0,0,2,0,0,2
Telina,6,0,0,0,0,0,1,0,2,0,1,2
Temora,6,0,1,0,2,0,0,0,0,0,3,0
Tempe,6,0,0,0,1,0,0,0,1,0,1,3
Tiwi,6,0,0,0,1,1,0,0,1,0,0,3
Toolooa,6,1,0,0,1,0,0,0,1,1,1,1
Trott Park,6,0,0,0,3,1,0,0,1,0,0,1
Tullamarine,6,0,0,0,0,0,0,0,1,1,2,2
Turner,6,0,1,0,0,0,0,0,1,1,1,2
Uki,6,0,1,0,1,1,0,0,0,0,2,1
Victory Heights,6,0,0,0,0,1,0,0,0,2,1,2
Wakerley,6,0,0,0,0,0,0,0,4,0,1,1
Walloon,6,0,1,0,0,1,0,0,3,0,0,1
Wanguri,6,2,0,0,0,0,0,0,0,0,1,3
Warrandyte,6,1,0,0,0,1,0,0,1,0,2,1
Wattle Grove,6,0,0,0,1,1,0,0,1,0,2,1
Werrington County,6,0,0,0,0,0,0,0,1,1,2,2
Westbrook,6,0,0,0,0,1,0,0,2,0,2,1
Wetherill Park,6,0,0,0,0,1,0,0,1,0,2,2
White Gum Valley,6,0,0,0,1,2,0,0,3,0,0,0
White Rock,6,0,0,0,0,1,0,0,0,1,2,2
Whitebridge,6,0,0,0,1,1,1,0,0,1,1,1
Whyalla,6,0,0,0,0,1,0,0,2,0,0,3
Whyalla Norrie,6,1,0,0,0,2,0,0,0,0,1,2
Willmot,6,0,0,0,0,4,0,0,1,0,0,1
Willow Vale,6,0,0,0,2,2,0,0,0,0,2,0
Wilston,6,0,0,0,0,1,1,0,0,0,3,1
Winter Valley,6,0,2,0,3,0,0,0,1,0,0,0
Wondai,6,0,0,0,0,0,0,0,3,0,0,3
Woodcroft,6,0,0,0,1,0,0,0,2,0,2,1
Woodhill,6,0,0,0,0,0,0,0,1,0,3,2
Woodlands,6,0,0,0,1,2,0,0,1,0,2,0
Wynn Vale,6,1,0,0,1,1,0,0,0,1,0,2
Youngtown,6,0,0,0,2,0,0,0,2,1,1,0
Aberdare,5,0,0,0,1,1,0,0,0,0,2,1
Aberfeldie,5,0,0,0,1,0,0,0,0,0,3,1
Aberfoyle Park,5,0,0,0,2,0,0,0,1,0,1,1
Acton,5,0,1,0,1,0,0,0,0,0,2,1
Alexandra Headland,5,0,0,0,2,0,0,0,0,0,3,0
Andrews Farm,5,1,0,0,1,0,0,0,0,0,1,2
Ardeer,5,0,0,0,0,1,0,0,3,0,0,1
Ashbury,5,0,1,0,1,1,0,0,1,0,0,1
Avalon,5,0,0,0,1,0,0,0,2,0,0,2
Avoca Beach,5,1,0,0,1,1,0,0,1,0,0,1
Babinda,5,1,0,0,1,0,0,0,1,0,1,1
Balgowlah,5,0,0,0,0,0,0,0,0,0,3,2
Ballogie,5,0,0,0,0,0,0,0,0,0,1,4
Balmain East,5,0,0,0,1,1,0,0,2,0,0,1
Bargo,5,0,0,1,0,0,0,0,0,0,3,1
Basin Pocket,5,0,0,0,0,0,0,0,1,0,2,2
Batehaven,5,0,0,0,1,2,0,0,0,0,2,0
Battery Hill,5,0,0,0,0,2,0,0,1,0,1,1
Bayview,5,0,1,0,1,1,0,0,0,0,1,1
Beacon Hill,5,0,0,0,0,0,1,0,2,0,1,1
Bellbowrie,5,1,0,0,0,0,0,0,0,0,1,3
Beresfield,5,0,0,1,0,0,0,0,0,1,2,1
Beresford,5,0,0,0,0,2,0,0,1,0,2,0
Berriedale,5,0,0,0,1,1,0,0,1,0,0,2
Beverley,5,1,0,0,0,0,0,0,1,0,0,3
Biggenden,5,0,1,0,0,1,0,0,1,0,1,1
Binnaway,5,0,0,0,0,2,0,0,0,0,2,1
Birtinya,5,0,0,0,0,2,0,0,2,0,1,0
Blackburn South,5,0,0,0,0,0,0,0,1,0,1,3
Blackstone,5,0,1,0,1,1,0,0,1,0,0,1
Blackwall,5,0,1,0,1,1,1,0,0,1,0,0
Bloomsbury,5,0,0,0,0,0,0,0,3,0,0,2
Bohle Plains,5,1,0,0,2,0,0,0,0,0,0,2
Bonnyrigg Heights,5,0,0,0,0,0,0,0,0,0,2,3
Boolaroo,5,0,0,0,0,0,0,0,2,0,2,1
Booragoon,5,0,0,0,0,0,1,0,0,0,1,3
Booral,5,0,0,0,1,0,0,0,1,0,1,2
Boorowa,5,0,0,0,0,1,0,0,0,0,0,4
Bossley Park,5,0,0,1,0,2,0,0,1,0,1,0
Bourke,5,0,0,0,2,1,0,0,2,0,0,0
Box Hill North,5,0,0,0,1,2,0,0,0,0,2,0
Box Hill South,5,0,0,0,0,0,0,0,1,0,1,3
Brighton-Le-Sands,5,1,1,0,0,1,0,0,0,0,2,0
Broadford,5,0,0,0,1,0,0,0,0,0,2,2
Brooklyn,5,0,0,0,2,1,0,0,1,0,1,0
Brookwater,5,0,0,0,1,0,1,0,0,0,1,2
Buff Point,5,0,0,0,2,1,0,0,1,0,0,1
Bulgarra,5,0,1,0,1,0,0,0,1,0,1,1
Buxton,5,0,0,0,1,1,1,0,1,0,0,1
California Gully,5,0,0,0,0,1,0,0,0,0,1,3
Calista,5,0,0,0,0,0,0,0,1,0,3,1
Callala Bay,5,0,0,0,1,0,0,0,2,0,0,2
Canberra,5,0,1,0,0,0,0,0,2,0,1,1
Cannington,5,0,1,0,0,2,0,0,1,0,0,1
Capel,5,0,1,0,1,0,0,0,0,0,3,0
Caves Beach,5,0,0,0,1,1,0,0,2,0,1,0
Chapel Hill,5,1,0,0,1,0,0,0,3,0,0,0
Chapman,5,0,1,0,1,0,1,0,0,0,1,1
Cherrybrook,5,1,0,0,2,1,0,0,0,0,1,0
Chinderah,5,0,0,0,0,2,0,0,0,0,2,1
Clayton South,5,0,0,0,0,0,0,0,1,0,2,2
Clearview,5,0,1,0,1,1,0,0,0,0,0,2
Clifton,5,0,0,0,1,2,0,0,0,0,0,2
Cobram,5,0,0,0,1,1,0,0,2,0,0,1
Concord,5,0,0,0,1,1,0,0,0,0,1,2
Cooktown,5,1,0,0,0,0,0,0,1,0,1,2
Coominya,5,0,0,0,2,0,0,0,1,0,1,1
Coopers Plains,5,0,0,0,1,1,0,0,0,0,0,3
Cooroibah,5,0,0,0,1,0,0,0,1,0,1,2
Cordeaux Heights,5,0,0,0,0,2,0,0,0,0,1,2
Corinda,5,0,0,0,1,1,0,0,2,0,1,0
Coronet Bay,5,0,1,0,0,1,0,0,1,0,0,2
Craigmore,5,0,0,0,1,1,1,0,0,0,0,2
Craignish,5,0,0,0,1,0,0,0,2,1,0,1
Curlewis,5,0,1,0,2,0,0,0,0,0,1,1
Currambine,5,0,0,0,4,1,0,0,0,0,0,0
Currumbin,5,2,0,0,0,1,0,0,1,0,0,1
Daceyville,5,0,0,0,0,1,0,0,2,0,2,0
Daylesford,5,0,1,1,2,0,0,0,0,0,1,0
Delacombe,5,2,0,0,0,0,1,0,0,0,2,0
Denham Court,5,0,1,0,0,0,0,0,3,0,0,1
Diamond Creek,5,0,0,0,0,0,1,0,2,0,1,1
Doonan,5,0,0,0,0,1,0,0,2,0,1,1
Draper,5,0,0,0,3,0,0,0,1,0,1,0
Drummoyne,5,0,0,0,2,0,0,0,0,1,0,2
Dudley,5,0,0,0,1,1,0,0,0,0,0,3
Dudley Park,5,0,0,0,2,0,0,0,0,0,1,2
Dungog,5,0,0,0,2,0,0,0,1,0,1,1
Dunwich,5,0,0,0,0,0,0,0,3,0,2,0
East Side,5,0,0,0,1,0,1,0,1,0,1,1
Edge Hill,5,0,1,0,2,0,0,0,0,0,2,0
Edithvale,5,0,1,0,0,0,1,0,1,0,2,0
Eidsvold,5,0,0,0,0,1,0,0,2,0,1,1
Elands,5,0,0,0,0,1,0,0,2,0,0,2
Elderslie,5,0,0,0,1,0,0,0,2,0,1,1
Eleebana,5,0,0,0,2,0,0,0,1,0,1,1
Elermore Vale,5,0,0,0,1,2,0,0,1,0,0,1
Elizabeth East,5,0,0,0,0,2,0,0,1,0,1,1
Elizabeth Grove,5,0,0,0,0,0,0,0,1,1,1,2
Embleton,5,0,0,0,0,1,0,0,2,0,1,1
Emerton,5,0,1,0,0,1,0,0,0,0,1,2
Esperance,5,0,0,0,1,2,0,0,1,0,0,1
Eumundi,5,0,0,0,2,1,0,0,1,0,0,1
Evanston,5,0,0,0,1,0,0,0,1,0,2,1
Exmouth,5,0,1,0,0,0,0,0,2,1,0,1
Farmborough Heights,5,0,0,0,1,1,0,0,1,0,1,1
Faulconbridge,5,0,0,0,2,0,0,0,1,1,0,1
Fennell Bay,5,0,0,0,1,1,0,0,0,0,1,2
Flagstaff Hill,5,0,0,0,2,0,1,0,0,0,1,1
Florey,5,1,0,0,0,0,0,0,1,0,1,2
Fraser Rise,5,0,0,0,2,0,1,0,0,0,2,0
Gaven,5,0,0,0,0,2,0,0,0,0,2,1
Gayndah,5,0,0,0,1,2,0,0,0,0,1,1
Geographe,5,0,0,0,0,1,0,0,1,0,3,0
Glenhaven,5,0,0,0,0,2,0,0,0,0,2,1
Gowrie,5,0,0,0,0,1,0,0,1,1,1,1
Gowrie Junction,5,0,0,0,2,0,0,0,2,0,1,0
Greenwith,5,1,0,0,1,1,0,0,1,0,0,1
Gregory River,5,0,0,0,2,0,0,0,1,0,0,2
Gungahlin,5,0,0,0,0,0,0,0,2,0,2,1
Gwandalan,5,0,0,0,2,0,0,0,1,0,0,2
Gymea,5,0,0,0,0,1,0,0,2,0,1,1
Hackham West,5,0,0,0,0,3,0,0,2,0,0,0
Hammond Park,5,0,0,0,1,0,0,0,1,0,3,0
Harrison,5,0,0,0,1,0,0,0,0,2,1,1
Harvey,5,0,0,0,1,0,0,0,0,1,2,1
Hawthorne,5,0,0,0,1,0,1,0,1,0,0,2
Hay,5,0,0,0,1,1,0,0,1,0,1,1
Hazelbrook,5,0,0,0,4,0,0,0,0,0,1,0
Heckenberg,5,0,0,0,0,0,0,0,1,0,4,0
Helena Valley,5,0,0,0,0,0,0,0,1,0,1,3
Hillbank,5,0,0,0,1,1,0,0,1,0,2,0
Hillman,5,0,0,0,0,0,0,0,2,0,2,1
Hobartville,5,0,2,0,0,0,0,0,0,1,1,1
Hocking,5,0,0,0,1,0,0,0,1,0,2,1
Homebush,5,1,0,0,1,0,0,0,0,0,2,1
Homebush West,5,0,0,0,0,1,0,0,0,0,2,2
Hope Valley,5,0,0,0,0,1,1,0,1,0,2,0
Horsley,5,0,0,0,1,0,0,0,0,0,2,2
Illawong,5,0,0,0,2,0,0,0,1,0,1,1
Islington,5,0,0,0,1,0,0,0,2,0,0,2
Jannali,5,0,0,0,0,1,0,0,0,0,1,3
Jensen,5,0,0,0,1,0,1,0,1,0,0,2
Jordan Springs,5,0,0,0,0,0,0,0,2,0,1,2
Jurien Bay,5,1,0,0,0,1,0,0,1,0,1,1
Kalbar,5,0,0,0,2,0,0,0,1,0,0,2
Kandos,5,0,0,0,0,2,0,0,0,0,2,1
Kardinya,5,0,0,0,1,1,0,0,1,0,2,0
Karloo,5,0,0,0,1,3,0,0,0,0,0,1
Keilor Downs,5,1,0,0,1,1,0,0,1,0,1,0
Kenmore,5,0,0,0,1,1,0,0,0,0,0,3
Kenthurst,5,0,0,0,1,2,0,0,1,0,0,1
Kew East,5,0,1,0,1,1,0,0,1,0,1,0
Kingsville,5,0,0,0,2,0,0,0,3,0,0,0
Kinross,5,1,0,0,1,1,0,0,1,0,0,1
Kipparing,5,0,0,0,2,0,1,0,1,0,0,1
Kirribilli,5,0,0,0,0,2,0,0,0,0,1,2
Koo Wee Rup,5,0,0,0,1,2,0,0,0,0,1,1
Kootingal,5,0,0,0,1,1,1,0,0,0,2,0
Kuluin,5,0,0,0,1,1,0,0,2,0,0,1
Kyogle,5,0,0,0,1,1,0,0,0,0,2,1
Laidley North,5,0,0,0,1,0,0,0,1,0,0,3
Lake Cathie,5,0,0,0,0,0,0,0,0,1,1,3
Lakemba,5,0,1,0,1,1,0,0,0,0,2,0
Lakes Creek,5,0,0,0,1,0,0,0,1,0,1,2
Langford,5,0,0,0,1,1,0,0,0,0,2,1
Larapinta,5,0,0,0,0,1,0,0,1,0,2,1
Latham,5,0,0,0,0,1,0,0,1,1,1,1
Lathlain,5,0,0,0,1,1,0,0,1,0,1,1
Laurieton,5,0,0,0,0,2,0,0,0,0,0,3
Laverton,5,0,0,0,1,0,0,0,1,0,2,1
Leura,5,0,0,0,2,0,0,0,0,1,1,1
Lismore Heights,5,0,0,0,0,2,0,0,1,0,2,0
Lower Beechmont,5,0,0,0,0,0,0,0,1,0,0,4
Lynwood,5,0,0,0,0,2,0,0,1,0,0,2
Lyons,5,0,0,0,0,1,0,0,0,0,2,2
Maida Vale,5,0,0,0,0,2,0,0,0,0,0,3
Main Beach,5,1,0,0,1,1,0,0,2,0,0,0
Malaga,5,0,0,0,1,0,0,0,1,0,0,3
Malanda,5,0,0,0,2,0,0,0,0,0,2,1
Mambourin,5,0,0,0,0,0,0,0,3,0,0,2
Manly Vale,5,0,0,0,1,2,0,0,0,0,1,1
Mannum,5,0,0,0,0,0,0,0,2,1,1,1
Mardi,5,0,0,1,0,0,2,0,0,0,0,2
Memerambi,5,0,0,0,0,0,1,0,0,0,2,2
Meridan Plains,5,0,0,0,0,0,0,0,3,1,0,1
Merrylands West,5,0,0,0,0,1,0,0,1,0,2,1
Millmerran,5,0,0,0,0,0,1,0,3,0,0,1
Minyama,5,0,0,0,3,0,0,0,1,0,1,0
Mitchell,5,0,0,0,0,1,0,0,0,0,1,3
Moama,5,0,0,0,1,1,0,0,0,0,2,1
Monkland,5,1,0,0,0,0,0,0,0,0,1,3
Moore Park Beach,5,0,0,0,1,2,0,0,1,0,0,1
Mount Clarence,5,0,1,0,1,0,0,0,2,0,1,0
Mount Colah,5,0,0,0,1,0,0,0,1,0,1,2
Mount Riverview,5,0,0,0,1,0,0,0,0,0,4,0
Mount Sheridan,5,0,0,0,1,0,0,0,1,0,1,2
Mount Tarcoola,5,0,0,0,1,1,0,0,0,0,1,2
Mullaloo,5,0,0,0,1,1,0,0,0,0,2,1
Mundaring,5,0,0,0,0,0,0,0,2,1,1,1
Murwillumbah,5,0,0,0,0,0,0,0,2,0,1,2
Nakara,5,0,0,0,0,1,0,0,0,0,2,2
Naracoorte,5,0,0,0,0,0,0,0,1,0,1,3
Narwee,5,0,0,0,1,2,0,0,1,0,1,0
Nichols Point,5,0,1,0,0,0,0,0,2,0,0,2
Nickol,5,0,0,0,0,1,2,0,1,0,1,0
Noraville,5,0,0,0,0,0,0,0,1,0,0,4
North Adelaide,5,0,0,0,1,0,0,0,1,0,1,2
North Beach,5,0,1,0,2,0,0,0,1,0,0,1
North Macksville,5,0,0,0,0,3,0,0,0,0,1,1
North Saint Marys,5,0,0,0,0,1,0,0,1,0,1,2
Nyah West,5,0,0,0,1,1,0,0,0,0,1,2
Oakden,5,0,1,0,0,1,0,0,1,0,1,1
Oakleigh East,5,0,0,0,0,2,0,0,0,1,0,2
Oakleigh South,5,0,0,0,1,0,1,0,0,0,2,1
Oberon,5,0,0,0,0,1,0,0,0,0,2,2
Pambula Beach,5,0,0,0,0,1,0,0,3,0,0,1
Paradise,5,0,0,0,1,1,0,0,0,0,2,1
Paralowie,5,0,1,0,1,0,0,0,1,0,0,2
Park Holme,5,0,0,0,2,1,0,0,1,0,1,0
Parkinson,5,0,0,0,0,0,0,0,1,0,1,3
